name,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,car_company_name
Mahindra Thar CRDe ABS,2018,26235,Diesel,Dealer,Manual,First Owner,16.55,2498.0,105.0,6.0,Mahindra
Tata Nexon 1.5 Revotorq XZ Plus,2017,26766,Diesel,Dealer,Manual,First Owner,21.5,1497.0,108.5,5.0,Tata
MG Hector Sharp DCT Dualtone,2020,1600,Petrol,Dealer,Automatic,First Owner,13.96,1451.0,141.0,5.0,MG
Mercedes-Benz New C-Class C 220 CDI Elegance MT,2018,46000,Diesel,Dealer,Manual,First Owner,15.8,2148.0,170.0,5.0,Mercedes
Mahindra Marazzo M2 BSIV,2019,23000,Diesel,Dealer,Manual,First Owner,17.3,1497.0,121.0,7.0,Mahindra
Maruti Swift VXI Optional,2017,24522,Petrol,Dealer,Manual,First Owner,20.4,1197.0,81.8,5.0,Maruti
BMW 3 Series 320d,2017,13663,Diesel,Dealer,Automatic,First Owner,22.69,1995.0,190.0,5.0,BMW
Skoda Octavia Style Plus 2.0 TDI AT,2019,11000,Diesel,Dealer,Automatic,First Owner,19.3,1968.0,141.0,5.0,Skoda
Maruti Vitara Brezza ZDi Plus,2016,63000,Diesel,Dealer,Manual,First Owner,24.3,1248.0,88.5,5.0,Maruti
Volkswagen Polo 1.2 MPI Comfortline,2019,2000,Petrol,Dealer,Manual,First Owner,16.2,1199.0,74.0,5.0,Volkswagen
Mahindra Scorpio VLX 2WD AIRBAG BSIV,2014,300000,Diesel,Individual,Manual,Third Owner,12.05,2179.0,120.0,8.0,Mahindra
Mahindra Logan Diesel 1.5 DLE,2011,190000,Diesel,Individual,Manual,Third Owner,19.2,1461.0,65.0,5.0,Mahindra
Honda City i DTEC E,2015,80000,Diesel,Individual,Manual,First Owner,26.0,1498.0,98.6,5.0,Honda
Honda Jazz Select Edition Active,2011,80000,Petrol,Individual,Manual,Second Owner,16.0,1198.0,90.0,5.0,Honda
Maruti Alto K10 LXI,2015,54000,Electric,Individual,Manual,First Owner,23.95,998.0,67.05,5.0,Maruti
Renault KWID 1.0 RXT Optional,2018,30000,Petrol,Individual,Manual,First Owner,23.01,999.0,67.0,5.0,Renault
Maruti Eeco 7 Seater Standard BSIV,2019,5000,Petrol,Individual,Manual,First Owner,15.37,1196.0,73.0,7.0,Maruti
Mahindra TUV 300 T8,2015,58945,Diesel,Individual,Ai,First Owner,18.49,1493.0,100.0,7.0,Mahindra
Ford Figo Diesel Titanium,2012,90000,Diesel,Individual,Manual,First Owner,20.0,1399.0,68.0,5.0,Ford
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2011,375000,Diesel,Individual,Manual,First Owner,12.8,2494.0,102.0,8.0,Toyota
Maruti Ertiga VDI,2013,160000,Diesel,Individual,Manual,Third Owner,20.77,1248.0,88.76,7.0,Maruti
Volkswagen Polo GT TDI,2014,80000,Diesel,Individual,Manual,Second Owner,15.11,1598.0,103.6,5.0,Volkswagen
Maruti 800 AC BSII,2004,50000,Petrol,Individual,Manual,Third Owner,16.1,796.0,37.0,4.0,Maruti
Tata Indigo CS LX (TDI) BS-III,2015,80000,Diesel,Individual,Manual,Second Owner,19.09,1405.0,69.01,5.0,Indigo
Mahindra Bolero 2011-2019 Plus AC,2015,156975,Diesel,Individual,Manual,First Owner,15.96,2523.0,62.1,9.0,Mahindra
Toyota Corolla Altis 1.4 DGL,2017,5000,Diesel,Individual,Manual,First Owner,21.43,1364.0,86.79,5.0,Toyota
Chevrolet Sail 1.2 LS ABS,2014,50000,Petrol,Individual,Manual,First Owner,18.2,1199.0,82.4,5.0,Chevrolet
Ford EcoSport 1.5 TDCi Titanium BSIV,2018,27620,Diesel,Dealer,Manual,First Owner,22.77,1498.0,98.59,5.0,Ford
Mahindra Scorpio LX,2013,120000,Diesel,Individual,Manual,First Owner,12.05,2179.0,120.0,9.0,Mahindra
Mahindra Xylo E8,2009,120000,Diesel,Individual,Manual,Third Owner,14.0,2498.0,112.0,8.0,Mahindra
Hyundai i20 Active 1.2 S,2015,58000,Petrol,Individual,Manual,First Owner,17.19,1197.0,81.86,5.0,Hyundai
Nissan Sunny XV,2012,50000,Petrol,Individual,Manual,First Owner,16.95,1498.0,97.7,5.0,Nissan
Maruti Ignis 1.2 AMT Alpha BSIV,2017,40000,Petrol,Individual,Automatic,First Owner,20.89,1197.0,81.8,5.0,Maruti
Honda WR-V i-VTEC VX,2018,7800,Petrol,Individual,Manual,First Owner,17.5,1199.0,88.7,5.0,Honda
Maruti Alto 800 LXI,2016,50000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,5.0,Maruti
Ford Endeavour 2.5L 4X2 MT,2011,68000,Diesel,Individual,Manual,First Owner,13.1,2499.0,141.0,7.0,Ford
Maruti Ertiga VXI,2015,60000,Petrol,Individual,Manual,Second Owner,16.02,1373.0,93.7,7.0,Maruti
Tata Indigo GLS,2005,74000,Petrol,Individual,Manual,Second Owner,12.8,1396.0,85.0,5.0,Tata
Tata New Safari DICOR 2.2 VX 4x2 BS IV,2011,58000,Diesel,Individual,Manual,Second Owner,13.93,2179.0,138.1,7.0,Tata
Maruti A-Star Vxi,2011,70000,Petrol,Individual,Manual,Third Owner,19.0,998.0,66.1,5.0,Maruti
Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,2015,70000,Petrol,Individual,Manual,First Owner,18.16,1196.0,86.8,5.0,Ford
Hyundai i10 Magna,2009,110000,Petrol,Individual,Manual,Second Owner,20.36,1197.0,78.9,5.0,i10
Hyundai Santro LP zipPlus,2002,80000,Petrol,Individual,Manual,Third Owner,,,,,Hyundai
Hyundai i20 Sportz 1.4 CRDi,2016,80000,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,5.0,Hyundai
Maruti Ertiga 1.5 VDI,2018,59000,Diesel,Individual,Manual,First Owner,24.2,1498.0,93.87,7.0,Maruti
Tata Indica V2 eLS,2018,110000,Diesel,Individual,Manual,First Owner,25.0,1396.0,69.0,5.0,Tata
Maruti Celerio ZXI,2020,25000,Petrol,Individual,Manual,First Owner,21.63,998.0,67.04,5.0,Maruti
Maruti Alto 800 LXI,2014,55000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,5.0,Maruti
Maruti Celerio ZDi,2015,25000,Diesel,Individual,Manual,First Owner,27.62,793.0,47.0,5.0,Maruti
Mahindra Xylo E4,2009,300000,Diesel,Individual,Manual,First Owner,14.0,2498.0,112.0,7.0,Mahindra
Ford Figo 1.5D Titanium MT,2016,143200,Diesel,Individual,Manual,First Owner,25.83,1498.0,99.0,5.0,Ford
Jeep Compass 2.0 Longitude Option BSIV,2017,60000,Electric,Individual,Manual,First Owner,17.1,1956.0,170.0,5.0,Jeep
Nissan Micra Diesel XV Premium,5,120000,Diesel,Individual,Manual,First Owner,23.08,1461.0,63.1,5.0,Nissan
Maruti Ciaz VDi Plus,2014,145000,Diesel,Individual,Manual,Second Owner,26.21,1248.0,88.5,5.0,Maruti
Hyundai i20 2015-2017 Magna 1.2,2017,30000,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,5.0,Hyundai
Hyundai Grand i10 1.2 Kappa Sportz Dual Tone,2019,8000,Petrol,Partnership,Manual,First Owner,18.9,1197.0,81.86,5.0,Hyundai
Ford Endeavour 2.5L 4X2 MT,2012,170000,Diesel,Individual,Manual,First Owner,13.1,2499.0,141.0,7.0,Ford
Maruti Swift Dzire LDI,2013,100000,Diesel,Individual,Manual,First Owner,23.4,1248.0,74.0,5.0,Maruti
Maruti Omni 8 Seater BSIV,2012,62000,Petrol,Individual,Manual,First Owner,14.0,796.0,35.0,5.0,Maruti
Mahindra XUV500 W8 AWD,2014,110000,Diesel,Individual,Manual,First Owner,15.1,2179.0,140.0,7.0,Mahindra
Hyundai Santro Xing GL CNG,2007,137000,CNG,Individual,Manual,First Owner,,,,,Hyundai
Chevrolet Tavera Neo 3 LS 9 Str BSIII,2015,80000,Diesel,Individual,Manual,Second Owner,13.58,2499.0,72.4,9.0,Chevrolet
Maruti Zen Base,2002,80000,Petrol,Individual,Manual,Second Owner,17.3,993.0,60.0,5.0,Maruti
Maruti Swift Dzire VDI,2013,100000,Diesel,Individual,Manual,First Owner,23.4,1248.0,74.0,5.0,Maruti
Mahindra Bolero 2011-2019 Plus - AC BSIII,2015,120000,Diesel,Individual,Manual,First Owner,15.96,2523.0,63.0,9.0,Bolero
Maruti Swift Dzire VDI,2019,24000,Diesel,Individual,Manual,First Owner,28.4,1248.0,74.02,5.0,Maruti
Mahindra KUV 100 mFALCON D75 K8,2017,80000,Diesel,Individual,Manual,First Owner,25.32,1198.0,77.0,6.0,Mahindra
Hyundai Verna 1.6 SX CRDi (O),2012,138000,Diesel,Individual,Manual,First Owner,22.32,1582.0,126.32,5.0,Hyundai
Maruti Wagon R LXI,2003,147000,Petrol,Individual,Manual,Fourth & Above Owner,18.9,998.0,67.1,5.0,Maruti
Mahindra TUV 300 mHAWK100 T8 Dual Tone,2017,60000,Diesel,Individual,Manual,First Owner,18.49,1493.0,100.0,7.0,Mahindra
Chevrolet Spark 1.0 LS,2011,80000,Petrol,Individual,Manual,First Owner,18.0,995.0,62.0,5.0,Chevrolet
Maruti Alto 800 LXI,2016,50000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,5.0,Maruti
Tata Manza Club Class Quadrajet90 VX,2013,189000,Diesel,Individual,Manual,First Owner,21.02,1248.0,88.76,5.0,Tata
Volkswagen Vento 1.5 TDI Highline AT,2014,90000,Diesel,Individual,Automatic,Second Owner,21.21,1498.0,103.2,5.0,Volkswagen
Hyundai i20 Sportz 1.4 CRDi,2014,56000,Diesel,Individual,Manual,First Owner,21.9,1396.0,88.76,5.0,Hyundai
BMW 3 Series 320d Luxury Line,2012,140000,Diesel,Individual,Automatic,Second Owner,18.88,1995.0,184.0,5.0,BMW
Maruti Celerio VXI,2016,60000,Petrol,Individual,Manual,First Owner,23.1,998.0,67.04,5.0,Maruti
Mahindra XUV500 W8 4WD,2012,130000,Diesel,Individual,Manual,First Owner,15.1,2179.0,140.0,7.0,Mahindra
BMW 3 Series 320d Luxury Plus,2013,140000,Diesel,Individual,Automatic,Second Owner,18.88,1995.0,184.0,5.0,BMW
Tata Manza Club Class Quadrajet90 VX,2013,189000,Diesel,Individual,Manual,First Owner,21.02,1248.0,88.76,5.0,Tata
Volkswagen Vento 1.5 TDI Highline AT,2014,90000,Diesel,Individual,Automatic,Second Owner,21.21,1498.0,103.2,5.0,Volkswagen
Hyundai i20 Sportz 1.4 CRDi,2014,56000,Diesel,Individual,Manual,First Owner,21.9,1396.0,88.76,5.0,Hyundai
BMW 3 Series 320d Luxury Line,2012,140000,Diesel,Individual,Automatic,Second Owner,18.88,1995.0,184.0,5.0,BMW
Maruti Celerio VXI,2016,60000,Petrol,Individual,Manual,First Owner,23.1,998.0,67.04,5.0,Maruti
Mahindra XUV500 W8 4WD,2012,130000,Diesel,Individual,Manual,First Owner,15.1,2179.0,140.0,7.0,Mahindra
BMW 3 Series 320d Luxury Plus,2013,140000,Diesel,Individual,Automatic,Second Owner,18.88,1995.0,184.0,5.0,BMW
Nissan Terrano XE 85 PS,2016,35000,Diesel,Individual,Manual,First Owner,20.45,1461.0,83.8,5.0,Nissan
Nissan Terrano XL 85 PS,2015,35000,Diesel,Individual,Manual,First Owner,20.45,1461.0,83.8,5.0,Nissan
Tata New Safari DICOR 2.2 EX 4x2,2011,156000,Diesel,Individual,Manual,First Owner,11.57,2179.0,138.1,7.0,Tata
Maruti Alto 800 LX,2013,90000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,5.0,Maruti
Tata Indigo LS,2008,60000,Diesel,Individual,Manual,Third Owner,17.0,1405.0,70.0,5.0,Indigo
Nissan Terrano XL 110 PS,2016,36000,Diesel,Individual,Manual,First Owner,19.01,1461.0,108.5,5.0,Nissan
Hyundai EON Era Plus Sports Edition,2017,20000,Petrol,Individual,Manual,Second Owner,21.1,814.0,55.2,5.0,Hyundai
Tata New Safari DICOR 2.2 VX 4x2,2011,160000,Diesel,Individual,Manual,First Owner,13.93,2179.0,138.0,7.0,Tata
Mahindra Scorpio 2.6 Turbo 9 Str,2006,185000,Diesel,Individual,Manual,First Owner,12.7,2609.0,116.6,9.0,Mahindra
Tata Indica Vista Terra 1.4 TDI,2010,110000,Diesel,Individual,Manual,Second Owner,17.0,1405.0,71.0,5.0,Tata
Renault KWID RXT Optional,2018,10800,Petrol,Individual,Manual,First Owner,25.17,799.0,53.3,5.0,Renault
Mahindra Bolero 2011-2019 SLE,2012,120000,Diesel,Individual,Manual,First Owner,15.96,2523.0,62.1,7.0,Mahindra
Maruti Ignis 1.2 Delta BSIV,2019,15000,Electric,Individual,Manual,First Owner,20.89,1197.0,81.8,5.0,Maruti
Tata Sumo EX 10/7 Str BSIII,2012,67500,Diesel,Individual,Manual,First Owner,12.2,1948.0,68.0,10.0,Tata
Tata Hexa XM,2017,30000,Diesel,Individual,Manual,First Owner,17.6,2179.0,153.86,7.0,Tata
Mahindra KUV 100 mFALCON D75 K8,2016,50000,Diesel,Individual,Manual,First Owner,25.32,1198.0,77.0,6.0,Mahindra
Mahindra TUV 300 T8,2,100000,Electric,Individual,Manual,First Owner,18.49,1493.0,100.0,7.0,Mahindra
Mahindra Bolero 2011-2019 DI - AC BS III,2016,150000,Diesel,Individual,Manual,First Owner,15.96,2523.0,63.0,9.0,Mahindra
Mahindra XUV500 W10 2WD,2015,110000,Diesel,Individual,Manual,First Owner,16.0,2179.0,140.0,7.0,Mahindra
Maruti Alto 800 LXI,2012,30000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,5.0,Maruti
Maruti Alto LXi,2011,60000,Petrol,Individual,Manual,First Owner,19.7,796.0,46.3,5.0,Maruti
Mahindra Xylo D2,2010,255000,Diesel,Individual,Manual,Second Owner,13.0,2489.0,95.0,8.0,Mahindra
Chevrolet Optra Magnum 2.0 LT BS3,2008,120000,Diesel,Individual,Manual,Second Owner,16.52,1991.0,123.7,5.0,Optra
Maruti Alto 800 LXI,2015,49900,Petrol,Individual,Manual,Second Owner,22.74,796.0,47.3,5.0,Maruti
Tata Manza Aura Quadrajet BS IV,2012,86000,Diesel,Individual,Manual,First Owner,21.12,1248.0,88.8,5.0,Manza
Datsun GO T BSIV,2015,71850,Petrol,Individual,Manual,Rent,20.63,1198.0,67.0,5.0,Datsun
Fiat Grande Punto EVO 1.3 Dynamic,2015,95000,Diesel,Individual,Manual,Third Owner,21.2,1248.0,75.0,5.0,Fiat
Maruti Swift Dzire VXi,2008,70000,Petrol,Individual,Manual,Fourth & Above Owner,17.5,1298.0,85.8,5.0,Maruti
Hyundai EON Sportz,2011,35000,Petrol,Individual,Manual,First Owner,21.1,814.0,55.2,5.0,Hyundai
Maruti Swift Dzire VXI,2015,50000,Petrol,Individual,Manual,First Owner,20.85,1197.0,83.14,5.0,Maruti
Mahindra Bolero XL 10 Seater Non AC,2007,120000,Diesel,Individual,Manual,Third Owner,13.6,2523.0,63.0,7.0,Mahindra
Hyundai Elantra CRDi SX,2015,145000,Diesel,Individual,Manual,First Owner,22.7,1582.0,126.2,5.0,Hyundai
Tata Sumo EX BS IV,2012,190000,Diesel,Individual,Manual,Third Owner,,,,,Tata
Mahindra XUV500 W9 2WD,2018,40000,Diesel,Individual,Manual,First Owner,16.0,2179.0,138.0,7.0,Mahindra
Maruti Baleno Delta 1.3,2015,110000,Diesel,Individual,Manual,First Owner,27.39,1248.0,74.0,5.0,Maruti
Maruti Wagon R LXI DUO BSIII,2008,112000,LPG,Individual,Manual,Second Owner,17.3,1061.0,57.5,5.0,Maruti
Audi A3 35 TDI Premium Plus,2017,70000,Diesel,Individual,Automatic,First Owner,20.38,1968.0,143.0,5.0,Audi
Maruti Ritz VDi,2016,110000,Diesel,Individual,Manual,First Owner,23.2,1248.0,73.94,5.0,Maruti
Hyundai Grand i10 1.2 CRDi Asta,2018,29000,Diesel,Individual,Manual,First Owner,24.0,1186.0,73.97,5.0,Hyundai
Maruti Wagon R VXI BS IV,2011,60000,Petrol,Individual,Manual,First Owner,18.9,998.0,67.1,5.0,Maruti
Hyundai Santro GS zipDrive - Euro I,2002,120000,Petrol,Individual,Manual,Fourth & Above Owner,,,,,Hyundai
Maruti 800 Std BSII,2004,46000,Petrol,Individual,Manual,Fourth & Above Owner,16.1,796.0,37.0,4.0,Maruti
Mahindra Scorpio VLS AT 2.2 mHAWK,2012,120000,Diesel,Individual,Automatic,Third Owner,11.79,2179.0,120.0,8.0,Mahindra
Maruti Wagon R VXI Optional,2016,80000,Petrol,Partnership,Manual,First Owner,20.51,998.0,67.04,5.0,Maruti
Toyota Innova 2.5 VX 7 STR,2012,159000,Diesel,Individual,Manual,Second Owner,12.8,2494.0,102.0,7.0,Toyota
Mahindra Bolero 2011-2019 SLE,2012,110000,Diesel,Individual,Manual,Second Owner,15.96,2523.0,62.1,7.0,Mahindra
Maruti Alto LXi,2010,75000,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,5.0,Maruti
Maruti Swift Dzire LDi,2010,120000,Diesel,Individual,Manual,Third Owner,19.3,1248.0,73.9,5.0,Maruti
Honda City 1.5 V Inspire,2010,110000,Petrol,Individual,Manual,Third Owner,17.0,1497.0,118.0,5.0,Honda
Chevrolet Spark 1.0 LS,2009,80000,Petrol,Individual,Manual,Fourth & Above Owner,18.0,995.0,62.0,5.0,Chevrolet
Hyundai EON Magna Plus,2012,80000,Petrol,Partnership,Manual,Second Owner,21.1,814.0,55.2,5.0,Hyundai
Maruti Swift VDI BSIV W ABS,2011,85000,Diesel,Individual,Manual,First Owner,,,,,Maruti
Nissan Sunny Diesel XL,2014,71000,Diesel,Dealer,Manual,First Owner,21.64,1461.0,84.8,5.0,Nissan
Mahindra XUV500 W6 2WD,2011,108000,Electric,Dealer,Manual,First Owner,16.0,2179.0,140.0,7.0,Mahindra
Renault Duster 85PS Diesel RxL,8,75000,Diesel,Dealer,Manual,First Owner,19.87,1461.0,83.8,5.0,Renault
Maruti Ciaz Delta BSIV,2018,22000,Petrol,Individual,Manual,Second Owner,21.56,1462.0,103.25,5.0,Maruti
Audi Q5 3.0 TDI Quattro,2014,76131,Diesel,Individual,Ai,First Owner,13.22,2967.0,241.4,5.0,Audi
Hyundai i20 1.2 Asta,2018,30000,Petrol,Individual,Manual,Second Owner,18.6,1197.0,81.83,5.0,Hyundai
Audi Q7 3.0 TDI Quattro,2014,65000,Diesel,Individual,Automatic,First Owner,12.07,2967.0,241.4,7.0,Audi
Mahindra Scorpio S3 9 Seater BSIV,2018,60000,Diesel,Individual,Manual,First Owner,15.4,2523.0,75.0,7.0,Mahindra
Volkswagen Polo Diesel Highline 1.2L,2013,80000,Diesel,Individual,Manual,First Owner,22.07,1199.0,73.9,5.0,Volkswagen
Honda Accord V6 AT,2005,80000,Petrol,Individual,Automatic,Second Owner,9.0,2997.0,218.0,5.0,Honda
Audi Q7 3.0 TDI Quattro Premium Plus,2012,70000,Diesel,Individual,Automatic,First Owner,12.07,2967.0,241.4,7.0,Audi
Maruti Vitara Brezza VDi,2017,51777,Diesel,Dealer,Ai,First Owner,24.3,1248.0,88.5,5.0,Maruti
Land Rover Freelander 2 TD4 HSE,2013,64788,Diesel,Dealer,Automatic,First Owner,0.0,2179.0,115.0,5.0,Land
Honda Amaze V Petrol BSIV,2018,20000,Petrol,Individual,Manual,First Owner,19.5,1199.0,88.76,5.0,Honda
Volkswagen Polo 2015-2019 1.0 MPI Comfortline,2018,19000,Petrol,Individual,Manual,First Owner,18.78,999.0,75.0,5.0,Volkswagen
Daewoo Matiz SS,2000,46951,Petrol,Individual,Manual,First Owner,18.5,796.0,53.0,5.0,Daewoo
Datsun GO T BSIV,2016,19000,Petrol,Individual,Manual,First Owner,20.63,1198.0,67.0,5.0,Datsun
Ford EcoSport 1.5 TDCi Titanium Plus BSIV,2016,50000,Diesel,Individual,Manual,First Owner,22.77,1498.0,98.59,5.0,Ford
Hyundai Creta 1.6 CRDi SX Option,2015,60000,Diesel,Individual,Ai,First Owner,19.67,1582.0,126.2,5.0,Hyundai
Renault Duster 110PS Diesel RxL,2013,100000,Diesel,Individual,Manual,Second Owner,19.01,1461.0,108.45,5.0,Renault
Maruti Zen LXI,2001,10000,Petrol,Individual,Manual,First Owner,17.3,993.0,60.0,5.0,Maruti
Maruti Swift VDI,2012,50000,Diesel,Individual,Manual,Second Owner,22.9,1248.0,74.0,5.0,Maruti
Maruti Wagon R Stingray VXI,2014,74537,Petrol,Individual,Manual,Second Owner,20.51,998.0,67.04,5.0,Maruti
Maruti SX4 ZXI AT,2009,90000,Petrol,Individual,Automatic,Second Owner,12.6,1586.0,103.3,5.0,Maruti
Tata Indica Vista Aqua 1.3 Quadrajet (ABS),2012,80000,Diesel,Individual,Manual,Second Owner,,,,,Tata
Chevrolet Spark 1.0,2010,70000,Petrol,Individual,Manual,Second Owner,18.0,995.0,62.0,5.0,Chevrolet
Maruti Wagon R VXI Minor,2010,80000,Petrol,Individual,Manual,Second Owner,18.9,1061.0,67.0,5.0,Maruti
Hyundai Xcent 1.1 CRDi SX,2016,35000,Diesel,Individual,Manual,First Owner,24.4,1120.0,71.0,5.0,Hyundai
Chevrolet Beat LT,2015,23500,Petrol,Individual,Manual,First Owner,18.6,1199.0,76.8,5.0,Chevrolet
Honda City i-DTEC VX,2017,82000,Diesel,Individual,Manual,First Owner,25.6,1498.0,97.9,5.0,Honda
Toyota Innova 2.5 G (Diesel) 8 Seater,2014,100000,Diesel,Individual,Manual,Rent,12.99,2494.0,100.6,8.0,Toyota
Hyundai i20 1.2 Spotz,2018,15000,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,5.0,Hyundai
Maruti Baleno Zeta 1.3,2017,30000,Diesel,Individual,Manual,First Owner,27.39,1248.0,74.0,5.0,Maruti
Hyundai Grand i10 Sportz,2016,30000,Petrol,Individual,Manual,First Owner,18.9,1197.0,82.0,5.0,Hyundai
Maruti Celerio X ZXI BSIV,2019,11000,Petrol,Individual,Ai,First Owner,21.63,998.0,67.0,5.0,Maruti
Datsun GO Plus T,2017,140000,Petrol,Individual,Manual,First Owner,19.02,1198.0,67.05,7.0,Datsun
Tata Zest Quadrajet 1.3 XM,2016,110000,Diesel,Individual,Manual,First Owner,23.0,1248.0,88.7,5.0,Tata
Maruti Alto K10 2010-2014 VXI,2012,48000,Petrol,Individual,Manual,First Owner,20.92,998.0,67.1,5.0,Maruti
Maruti Swift VDI,2012,70000,Diesel,Individual,Manual,Second Owner,22.9,1248.0,74.0,5.0,Maruti
Maruti Swift VXI 2018,2018,70000,Petrol,Individual,Manual,Second Owner,22.0,1197.0,81.8,5.0,Maruti
Mahindra Scorpio 1.99 S6 Plus,2016,58000,Diesel,Individual,Manual,First Owner,15.4,1997.0,120.0,7.0,Mahindra
Maruti Wagon R LXI DUO BSIII,2010,40000,LPG,Individual,Manual,Fourth & Above Owner,17.3,1061.0,57.5,5.0,Maruti
Maruti Zen LXI,2005,90000,Petrol,Individual,Manual,Second Owner,17.3,993.0,60.0,5.0,Maruti
Mahindra Xylo E8 ABS Airbag,2010,40000,Diesel,Individual,Manual,Second Owner,14.0,2498.0,112.0,7.0,Mahindra
Mahindra Scorpio LX,2013,110000,Diesel,Individual,Manual,First Owner,12.05,2179.0,120.0,9.0,Mahindra
Tata New Safari DICOR 2.2 LX 4x2,2007,80000,Diesel,Individual,Manual,Second Owner,11.57,2179.0,138.1,7.0,Tata
Maruti Vitara Brezza ZDi,2017,60000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0,Maruti
Mahindra Bolero 2011-2019 SLX,2015,50000,Diesel,Individual,Manual,First Owner,15.96,2523.0,62.1,7.0,Mahindra
Tata Tiago 1.2 Revotron XZ,2017,25000,Petrol,Individual,Manual,First Owner,23.84,1199.0,84.0,5.0,Tata
Maruti Swift VDI,2011,100000,Diesel,Individual,Manual,Second Owner,22.9,1248.0,74.0,5.0,Maruti
Maruti Swift Dzire VDi,2012,52000,Diesel,Individual,Manual,Third Owner,19.3,1248.0,73.9,5.0,Maruti
Hyundai i10 Era 1.1,2010,80000,Petrol,Individual,Manual,Rent,19.81,1086.0,68.05,5.0,Hyundai
Honda Amaze VX i-DTEC,2016,85000,Diesel,Individual,Manual,First Owner,25.8,1498.0,98.6,5.0,Honda
Maruti Vitara Brezza ZDi Plus,2016,83000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0,Maruti
Maruti Alto 800 LXI,2013,50000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,5.0,Maruti
Maruti Wagon R LXI Minor,8,120000,Petrol,Individual,Manual,Fourth & Above Owner,18.9,1061.0,67.0,5.0,Maruti
Mahindra Bolero 2011-2019 SLE,2014,100000,Diesel,Individual,Manual,First Owner,15.96,2523.0,62.1,7.0,Mahindra
Maruti Swift VDI,2012,70000,Diesel,Individual,Manual,Third Owner,22.9,1248.0,74.0,5.0,Maruti
Maruti Alto LXi,2008,19000,Petrol,Individual,Manual,First Owner,19.7,796.0,46.3,5.0,Maruti
Honda City 1.5 S MT,2009,68600,Petrol,Individual,Manual,Third Owner,17.0,1497.0,118.0,5.0,Honda
Mahindra Bolero Power Plus SLX,2017,60000,Diesel,Individual,Manual,First Owner,16.5,1493.0,70.0,7.0,Mahindra
Mahindra Bolero 2011-2019 SLX,2014,65000,Diesel,Individual,Manual,Second Owner,15.96,2523.0,62.1,7.0,Mahindra
Honda City E,2012,40000,Petrol,Individual,Manual,Second Owner,16.8,1497.0,116.3,5.0,Honda
Tata Indica Vista Aqua 1.3 Quadrajet (ABS),2012,160000,Diesel,Individual,Manual,Second Owner,,,,,Tata
Maruti Celerio VXI,2016,25000,Petrol,Individual,Manual,First Owner,23.1,998.0,67.04,5.0,Maruti
Maruti Alto K10 LXI,2012,29500,Petrol,Individual,Manual,First Owner,20.92,998.0,67.1,5.0,Maruti
Hyundai Verna VTVT 1.6 SX,2018,13887,Petrol,Individual,Manual,First Owner,17.0,1591.0,121.3,5.0,Hyundai
Maruti Alto 800 VXI,2016,50000,Petrol,Individual,Manual,Second Owner,22.74,796.0,47.3,5.0,Maruti
Renault KWID RXL,2016,30000,Petrol,Individual,Manual,Second Owner,25.17,799.0,53.3,5.0,Renault
Maruti Alto 800 LXI,2012,100000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,5.0,Maruti
Chevrolet Aveo 1.4 LS,2011,60000,Petrol,Individual,Manual,Second Owner,14.49,1399.0,92.7,5.0,Chevrolet
Hyundai i20 Sportz Option 1.4 CRDi,2016,60000,Diesel,Individual,Manual,Second Owner,22.54,1396.0,88.73,5.0,Hyundai
Tata Indica Vista TDI LS,2011,120000,Diesel,Individual,Manual,First Owner,19.4,1405.0,70.0,5.0,Tata
Ford EcoSport 1.5 Petrol Ambiente BSIV,2017,13500,Petrol,Individual,Manual,First Owner,17.0,1497.0,121.36,5.0,Ford
Fiat Grande Punto Active (Diesel),2013,52000,Diesel,Individual,Manual,First Owner,20.3,1248.0,75.0,5.0,Fiat
Maruti Baleno Delta 1.2,2017,30000,Petrol,Individual,Manual,Second Owner,21.4,1197.0,83.1,5.0,Maruti
Hyundai Xcent 1.2 Kappa SX Option,2017,14000,Petrol,Individual,Manual,Rent,19.1,1197.0,82.0,5.0,Hyundai
Tata Aria Pure LX 4x2,2014,90000,Diesel,Individual,Manual,Second Owner,15.05,2179.0,147.9,7.0,Tata
Tata Tigor 1.05 Revotorq XM,2018,50000,Diesel,Individual,Manual,First Owner,24.7,1047.0,69.0,5.0,Tigor
Mahindra Xylo D2,2010,120000,Diesel,Individual,Manual,Second Owner,13.0,2489.0,95.0,8.0,Mahindra
